score	group
45.54543238355417	control
52.12683186032241	control
53.92166720019871	control
32.46383080919175	control
34.74114180789106	control
54.638605382195934	control
48.805680821467035	control
32.96676939735725	control
36.06560918283273	control
37.724374136987024	control
48.07906636584548	control
20.233911585343517	control
36.21267999686893	control
57.39174394400485	control
38.4099699604122	control
54.19159723541017	control
32.17677205146295	control
55.226376167689764	control
34.99845319968164	control
40.74810285321203	control
30.43311480509645	control
41.20356792670332	control
45.36431073980332	control
43.425915624318804	control
22.869656667182376	control
39.76407310840135	control
56.423989440525396	control
39.282046221128674	control
30.992565592917252	control
38.264718596612944	control
46.39441225667419	control
59.51309338432394	control
37.80706794381026	control
39.51617536505471	control
41.668959370778715	control
42.33199783420652	control
58.09789333978246	control
44.11848841943355	control
53.600030960761615	control
30.890386859118024	control
48.63591329977454	control
56.798942207377436	control
37.83760580847297	control
47.29822452868304	control
32.05379772423644	control
18.245571543811568	control
56.421497505921806	control
24.231248155688476	control
39.533234410630094	control
39.65826253534637	control
38.04654604779842	control
41.01953801461295	control
26.601259718872072	control
58.11081476360013	control
47.33365826100606	control
31.52672431752496	control
43.32960679988413	control
38.082823707420005	control
33.87750955744253	control
40.91858292402651	control
30.15928170059393	control
43.966915900651124	control
40.10541702588809	control
63.12446694957181	control
10.956835215623933	control
58.11868565193092	control
42.55128174212467	control
42.51207169913005	control
41.41232371015867	control
41.56591524487665	control
42.22879922511822	control
38.813647509199484	control
22.074147658360896	control
20.364876382252678	control
38.68254426527308	control
36.746788831883904	control
33.18727718520343	control
61.33133478641047	control
34.460237706950586	control
36.16957667695514	control
43.340823704025894	control
35.62892673283141	control
18.81440125064353	control
35.96278343504437	control
45.720931473474316	control
42.54874886627948	control
43.998494417322874	control
51.86410841734917	control
55.42718205934345	control
52.737078254740375	control
54.16289510133875	control
56.24116568496686	control
25.434075737169636	control
31.71416614854025	control
39.27418986760028	control
52.38003141134411	control
26.290610121489745	control
40.548602226957726	control
37.086546121085064	control
35.426944694184364	control
48.314058346511615	control
37.687737901512534	control
54.59125114366266	control
45.725220240396155	control
35.00826594274706	control
28.2257085734529	control
48.40627123822912	control
47.449781597889725	control
20.84898318130007	control
45.83196852834016	control
46.56793427004155	control
21.82580563083722	control
36.26919757007203	control
20.877393150066908	control
57.382019780674526	control
47.50120535592361	control
30.797393509326078	control
42.31787637561894	control
54.36581849474377	control
43.93158984784241	control
51.3428422035166	control
34.6109558245968	control
38.18286341901288	control
57.756392935298216	control
34.633021699758984	control
30.365893644732875	control
52.33049471657759	control
49.14539290257907	control
39.783665747557116	control
22.943744431388055	control
32.050411184641106	control
48.42697781355048	control
39.63877679546977	control
32.63154587958984	control
31.642368737442727	control
37.07475251483108	control
19.715547812501114	control
44.576874038933454	control
30.312790827828614	control
52.101341937117276	control
40.21637197177903	control
20.658009769767038	control
35.95010076527401	control
36.32347797160564	control
38.29094024729044	control
