score	group
42.173188630785816	control
37.757119007625704	control
35.52637833978473	control
53.21758498060349	control
44.34092253207964	control
25.905740318051627	control
27.235890704235544	control
27.311126545461562	control
27.488628564563985	control
42.557731833419844	control
39.95893747205046	control
18.43278420497171	control
23.42287740402022	control
20.50552560336414	control
48.4043464095642	control
34.83876850911764	control
31.667310229855712	control
16.786458136687457	control
41.016098241383176	control
41.3229517254418	control
33.078070615341254	treatment
45.485941600191516	treatment
54.877455626015326	treatment
52.64433248944302	treatment
46.539753053269195	treatment
30.631451637276513	treatment
53.46061582098747	treatment
40.717404903727136	treatment
44.35752665083097	treatment
42.43665359519642	treatment
45.01756786141719	treatment
44.23365244442141	treatment
33.83873161164743	treatment
30.587913160223124	treatment
42.919610563849034	treatment
62.36482069105407	treatment
42.90384699463714	treatment
61.79723266023829	treatment
59.36675739919491	treatment
41.370894613433464	treatment
